name	len	score	pvalue
NODE_60_length_1009_cov_3.880503	1009	0.42234107851982117	0.09133998036105447
NODE_61_length_1007_cov_2.037815	1007	0.002839842112734914	0.43441725205831255
NODE_62_length_1003_cov_10.515823	1003	1.909283128043171e-06	0.8495543470050608
NODE_63_length_1002_cov_1.322070	1002	0.0030469943303614855	0.4291676108467407
NODE_64_length_1000_cov_3.683598	1000	0.9982717037200928	0.004399879144950525
NODE_65_length_996_cov_4.270988	996	0.0511779747903347	0.49587010103670814
NODE_66_length_966_cov_7.627881	966	0.3935285210609436	0.2025814220399255
NODE_67_length_965_cov_1.691209	965	0.4567970037460327	0.1667199759167623
NODE_68_length_961_cov_2.971302	961	0.03821374475955963	0.5301134546275565
NODE_69_length_944_cov_2.689539	944	0.5349823832511902	0.11687896291557696
NODE_70_length_942_cov_3.511838	942	0.29807695746421814	0.2530997761011496
NODE_71_length_932_cov_3.281642	932	0.997744619846344	0.003612485653540048
NODE_72_length_917_cov_4.823666	917	0.7570525407791138	0.05699072419048336
NODE_73_length_909_cov_3.654567	909	0.7958213090896606	0.04963404767728462
NODE_74_length_908_cov_2.250879	908	0.2852940559387207	0.2603623774671207
NODE_75_length_895_cov_3.395238	895	0.9908983707427979	0.007817644734614009
NODE_76_length_892_cov_3.872162	892	0.03678612411022186	0.534412688855858
NODE_77_length_890_cov_2.998802	890	8.013554906938225e-05	0.919189448531487
NODE_78_length_881_cov_2.301453	881	0.4160766303539276	0.18997535231142637
NODE_79_length_876_cov_3.873325	876	0.45705485343933105	0.16658827071064367
NODE_80_length_876_cov_3.685749	876	0.6574380993843079	0.07789422190445729
NODE_81_length_872_cov_2.625459	872	0.9222697019577026	0.025663700163690756
NODE_82_length_867_cov_2.785714	867	0.9927111864089966	0.006820448174001392
NODE_83_length_864_cov_2.697157	864	0.5026168823242188	0.13456509059436678
NODE_84_length_863_cov_1.988861	863	0.008519955910742283	0.6790344126888559
NODE_85_length_858_cov_4.650062	858	0.9979842901229858	0.003386705300193795
NODE_86_length_847_cov_4.873737	847	0.33480513095855713	0.23340044027168902
NODE_87_length_845_cov_3.012658	845	0.16185736656188965	0.346234171856479
NODE_88_length_832_cov_1.566281	832	0.8038946390151978	0.04808180774802913
NODE_89_length_831_cov_1.997423	831	0.06597316265106201	0.46470300476020243
NODE_90_length_830_cov_1.965161	830	0.008836088702082634	0.6757700050800579
NODE_91_length_828_cov_10.469599	828	0.052444785833358765	0.4928691038401475
NODE_92_length_826_cov_10.935149	826	0.0038143231067806482	0.7427421023913903
NODE_93_length_824_cov_2.332900	824	0.7655792832374573	0.055353816628723025
NODE_94_length_815_cov_1.322368	815	0.3983455300331116	0.1997873901672656
NODE_95_length_808_cov_3.321381	808	0.928923487663269	0.024403093190840844
NODE_96_length_806_cov_3.258322	806	0.00116059766151011	0.8166099079945061
NODE_97_length_801_cov_2.703753	801	0.11848107725381851	0.38898191875670285
NODE_98_length_783_cov_2.935440	783	0.19705581665039062	0.3180210352029201
NODE_99_length_780_cov_4.053793	780	0.4054971933364868	0.1958080114395379
